"Bird.ID","FirstFound","LastPresent","LastChecked","Fate","Freq","YearDay","Study.Area","Location","Trans.Type","Sex","TurkAge","Weight","Hematoma","Pat.Tag","HandTime","MG","LPDV","REV","Prcp.Day","Prcp.Week","Tavg.Day","Tavg.Week","SampType","BodyCon","Year","SexTT"
468,1,30,30,0,1,36,"NW","Brad St","Neck","M","J",13.5,1,"N",124,0.74468085106383,1,0,0,7.57142857142857,-165,-103.857142857143,2,1.25299617183851,2019,"M.N"
470,1,30,30,0,1,36,"NW","Brad St","Neck","M","J",11.5,1,"N",133,0.74468085106383,1,0,0,7.57142857142857,-165,-103.857142857143,2,-0.747003828161495,2019,"M.N"
471,1,30,30,0,1,36,"NW","Brad St","Neck","M","J",13,1,"N",140,0.74468085106383,0,0,0,7.57142857142857,-165,-103.857142857143,1,-0.731861010450729,2019,"M.N"
472,1,30,30,0,1,58,"NC","Emera","Neck","M","A",18,0,"N",140,0.74468085106383,0,0,0,36,-149,-112.428571428571,1,2.35219675549983,2019,"M.N"
473,1,30,30,0,1,58,"NC","Emera","Neck","M","A",17,0,"N",140,0.74468085106383,1,0,0,36,-149,-112.428571428571,1,1.94613962841552,2019,"M.N"
474,1,9,12,1,1,72,"NC","Davis Oil","Neck","M","J",9,0,"N",80,1,1,0,0,17.7142857142857,-55,-27.5714285714286,3,-2.94164674018133,2019,"M.N"
475,1,30,30,0,1,72,"NC","Davis Oil","Back","M","A",20.5,1,"N",129,0,1,0,0,17.7142857142857,-55,-27.5714285714286,3,3.96454353282941,2019,"M.B"
476,1,30,30,0,1,78,"NW","Smith (Corinna)","Neck","M","A",17.5,0,"N",33,0.74468085106383,1,0,0,43.5714285714286,-82,-35.7142857142857,2,-0.518916040872768,2019,"M.N"
477,1,30,30,0,1,78,"NW","Smith (Corinna)","Neck","M","A",21,1,"N",54,0.74468085106383,1,0,0,43.5714285714286,-82,-35.7142857142857,2,3.72351255027185,2019,"M.N"
478,1,30,30,0,1,78,"NW","Smith (Corinna)","Neck","M","A",21.5,0,"N",68,1,1,0,0,43.5714285714286,-82,-35.7142857142857,3,4.96594114141647,2019,"M.N"
516,1,30,30,0,1,22,"NW","Glenburn","Neck","M","J",15,1,"N",72,1,1,1,0,50,-71,-3.42857142857143,3,-0.134958090397335,2020,"M.N"
522,1,30,30,0,1,27,"NE","Bradbury","Neck","M","A",15.5,0,"N",98,1,1,0,0,0,-29,-68.4285714285714,3,-0.218488751383118,2020,"M.N"
524,1,30,30,0,1,27,"NE","Bradbury","Neck","M","A",19,0,"N",98,0,0,0,0,0,-29,-68.4285714285714,3,4.0239398397615,2020,"M.N"
532,1,30,30,0,1,32,"S","Fernald Farm (Poland)","Neck","M","A",16,0,"N",125,0,1,0,124,26.7142857142857,-201,-84.2857142857143,3,-1.94460985099442,2020,"M.N"
535,1,30,30,0,1,32,"S","Fernald Farm (Poland)","Neck","M","A",17,0,"N",125,0,0,1,124,26.7142857142857,-201,-84.2857142857143,3,0.243275894836964,2020,"M.N"
536,1,30,30,0,1,32,"S","Fernald Farm (Poland)","Neck","M","A",16.5,1,"N",125,1,0,0,124,26.7142857142857,-201,-84.2857142857143,3,0.0402473312948093,2020,"M.N"
545,1,30,30,0,1,32,"S","Fernald Farm (Poland)","Neck","M","A",16,0,"N",125,0,0,1,124,26.7142857142857,-201,-84.2857142857143,3,-1.20218125984981,2020,"M.N"
546,1,30,30,0,1,32,"S","Fernald Farm (Poland)","Neck","M","A",16,0,"N",125,1,1,1,124,26.7142857142857,-201,-84.2857142857143,3,-0.459752668705191,2020,"M.N"
549,1,30,30,0,1,30,"NC","130 Stillwater","Neck","M","A",14.5,0,"N",77,1,0,1,10,1.42857142857143,-102,-63.4285714285714,3,-0.475361355944974,2020,"M.N"
574,1,30,30,0,1,38,"NC","McAllister's","Neck","M","J",14.5,0,"N",26,1,1,1,64,57.4285714285714,-66,-51.5714285714286,3,0.768604859078289,2019,"M.N"
575,1,30,30,0,1,38,"NC","McAllister's","Neck","M","J",8.5,0,"N",15,1,0,1,64,57.4285714285714,-66,-51.5714285714286,3,-4.48896654977709,2019,"M.N"
581,1,30,30,0,1,68,"WMD 26","Winterport (Hodgman)","Neck","M","A",17.5,0,"N",111,0.74468085106383,1,0,71,38.1428571428571,26,6.71428571428571,1,0.963611793771377,2019,"M.N"
582,1,30,30,0,1,68,"WMD 26","Winterport (Hodgman)","Neck","M","A",19,0,"N",104,0.74468085106383,0,0,71,38.1428571428571,26,6.71428571428571,1,0.978754611482143,2019,"M.N"
583,1,30,30,0,1,68,"WMD 26","Winterport (Hodgman)","Neck","M","A",17,0,"N",94,0.74468085106383,0,0,71,38.1428571428571,26,6.71428571428571,1,0.463611793771377,2019,"M.N"
585,1,30,30,0,1,68,"WMD 26","Winterport (Hodgman)","Neck","M","J",10,0,"N",61,0.74468085106383,0,0,71,38.1428571428571,26,6.71428571428571,1,-3.72440709798644,2019,"M.N"
616,1,30,30,0,1,40,"WMD 26","Monroe (Doak)","Neck","M","A",17.5,0,"N",140,0.74468085106383,0,0,76,60.1428571428571,8,-51.4285714285714,1,0.214661029220511,2019,"M.N"
617,1,20,27,1,1,40,"WMD 26","Monroe (Doak)","Neck","M","J",12,0,"N",140,0.74468085106383,0,0,76,60.1428571428571,8,-51.4285714285714,1,-2.47335786253731,2019,"M.N"
618,1,30,30,0,1,40,"WMD 26","Monroe (Doak)","Neck","M","A",18,0,"N",140,0.74468085106383,0,0,76,60.1428571428571,8,-51.4285714285714,1,5.91166116723283,2019,"M.N"
619,1,30,30,0,1,40,"WMD 26","Monroe (Doak)","Neck","M","J",11,0,"N",140,0.74468085106383,0,1,76,60.1428571428571,8,-51.4285714285714,1,-3.02790070785054,2019,"M.N"
623,1,30,30,0,1,49,"NW","Glenburn","Neck","M","A",19,0,"N",58,0.74468085106383,0.564593301435407,0.172248803827751,157,35.1428571428571,-31,-58.7142857142857,0,0.974328850956473,2019,"M.N"
624,1,30,30,0,1,49,"NW","Glenburn","Neck","M","A",20,0,"N",58,0.74468085106383,0.564593301435407,0.172248803827751,157,35.1428571428571,-31,-58.7142857142857,0,1.97432885095647,2019,"M.N"
